Sample,source,community,days,filtered
SRR9954079,bittleston_M01,bittleston_M01_unfiltered,39,unfiltered
SRR9954081,bittleston_M01,bittleston_M01_unfiltered,30,unfiltered
SRR9954083,bittleston_M01,bittleston_M01_unfiltered,33,unfiltered
SRR9954086,bittleston_M01,bittleston_M01_filtered,45,filtered
SRR9954088,bittleston_M03,bittleston_M03_filtered,24,filtered
SRR9954091,bittleston_M08,bittleston_M08_unfiltered,12,unfiltered
SRR9954092,bittleston_M08,bittleston_M08_filtered,3,filtered
SRR9954093,bittleston_M08,bittleston_M08_unfiltered,3,unfiltered
SRR9954094,bittleston_M07,bittleston_M07_unfiltered,63,unfiltered
SRR9954095,bittleston_M08,bittleston_M08_filtered,0,filtered
SRR9954096,bittleston_M08,bittleston_M08_filtered,9,filtered
SRR9954097,bittleston_M08,bittleston_M08_unfiltered,9,unfiltered
SRR9954098,bittleston_M08,bittleston_M08_filtered,6,filtered
SRR9954099,bittleston_M08,bittleston_M08_unfiltered,6,unfiltered
SRR9954100,bittleston_M03,bittleston_M03_filtered,21,filtered
SRR9954101,bittleston_M03,bittleston_M03_unfiltered,18,unfiltered
SRR9954102,bittleston_M03,bittleston_M03_filtered,9,filtered
SRR9954103,bittleston_M03,bittleston_M03_unfiltered,6,unfiltered
SRR9954104,bittleston_M03,bittleston_M03_filtered,12,filtered
SRR9954105,bittleston_M03,bittleston_M03_unfiltered,9,unfiltered
SRR9954106,bittleston_M03,bittleston_M03_filtered,15,filtered
SRR9954107,bittleston_M03,bittleston_M03_unfiltered,12,unfiltered
SRR9954108,bittleston_M03,bittleston_M03_filtered,18,filtered
SRR9954109,bittleston_M10,bittleston_M10_unfiltered,3,unfiltered
SRR9954110,bittleston_M10,bittleston_M10_filtered,45,filtered
SRR9954111,bittleston_M10,bittleston_M10_unfiltered,45,unfiltered
SRR9954112,bittleston_M10,bittleston_M10_filtered,42,filtered
SRR9954113,bittleston_M10,bittleston_M10_unfiltered,42,unfiltered
SRR9954114,bittleston_M10,bittleston_M10_filtered,39,filtered
SRR9954115,bittleston_M10,bittleston_M10_unfiltered,39,unfiltered
SRR9954116,bittleston_M10,bittleston_M10_filtered,36,filtered
SRR9954117,bittleston_M10,bittleston_M10_unfiltered,36,unfiltered
SRR9954118,bittleston_M10,bittleston_M10_filtered,48,filtered
SRR9954119,bittleston_M10,bittleston_M10_unfiltered,48,unfiltered
