Sample,source,community,days,filtered
SRR9953873,bittleston_M06,bittleston_M06_filtered,6,filtered
SRR9953874,bittleston_M06,bittleston_M06_unfiltered,6,unfiltered
SRR9953875,bittleston_M05,bittleston_M05_filtered,30,filtered
SRR9953876,bittleston_M05,bittleston_M05_unfiltered,27,unfiltered
SRR9953877,bittleston_M10,bittleston_M10_filtered,3,filtered
SRR9953878,bittleston_M02,bittleston_M02_filtered,9,filtered
SRR9953879,bittleston_M02,bittleston_M02_unfiltered,9,unfiltered
SRR9953881,bittleston_M02,bittleston_M02_unfiltered,6,unfiltered
SRR9953883,bittleston_M02,bittleston_M02_unfiltered,3,unfiltered
SRR9953888,bittleston_M08,bittleston_M08_filtered,30,filtered
SRR9953890,bittleston_M07,bittleston_M07_filtered,48,filtered
SRR9953891,bittleston_M08,bittleston_M08_unfiltered,33,unfiltered
SRR9953893,bittleston_M08,bittleston_M08_unfiltered,36,unfiltered
SRR9953894,bittleston_M08,bittleston_M08_filtered,39,filtered
SRR9953895,bittleston_M08,bittleston_M08_unfiltered,39,unfiltered
SRR9953897,bittleston_M07,bittleston_M07_unfiltered,36,unfiltered
SRR9953898,bittleston_M07,bittleston_M07_filtered,36,filtered
SRR9953900,bittleston_M07,bittleston_M07_filtered,45,filtered
SRR9953902,bittleston_M07,bittleston_M07_filtered,42,filtered
SRR9953904,bittleston_M08,bittleston_M08_filtered,42,filtered
SRR9953906,bittleston_M07,bittleston_M07_filtered,0,filtered
SRR9953908,bittleston_M10,bittleston_M10_unfiltered,9,unfiltered
SRR9953910,bittleston_M10,bittleston_M10_unfiltered,12,unfiltered
SRR9953912,bittleston_M10,bittleston_M10_unfiltered,15,unfiltered
SRR9953914,bittleston_M06,bittleston_M06_filtered,54,filtered
SRR9953916,bittleston_M06,bittleston_M06_filtered,57,filtered
SRR9953918,bittleston_M06,bittleston_M06_filtered,60,filtered
SRR9953919,bittleston_M06,bittleston_M06_unfiltered,60,unfiltered
SRR9953921,bittleston_M06,bittleston_M06_unfiltered,63,unfiltered
SRR9953924,bittleston_M04,bittleston_M04_unfiltered,33,unfiltered
SRR9953926,bittleston_M04,bittleston_M04_unfiltered,42,unfiltered
SRR9953928,bittleston_M04,bittleston_M04_unfiltered,39,unfiltered
SRR9953930,bittleston_M04,bittleston_M04_unfiltered,45,unfiltered
SRR9953932,bittleston_M02,bittleston_M02_unfiltered,51,unfiltered
SRR9953934,bittleston_M02,bittleston_M02_unfiltered,48,unfiltered
SRR9953936,bittleston_M02,bittleston_M02_unfiltered,45,unfiltered
SRR9953938,bittleston_M02,bittleston_M02_unfiltered,42,unfiltered
SRR9953939,bittleston_M02,bittleston_M02_filtered,42,filtered
SRR9953941,bittleston_M02,bittleston_M02_filtered,54,filtered
SRR9953943,bittleston_M09,bittleston_M09_unfiltered,51,unfiltered
SRR9953944,bittleston_M09,bittleston_M09_filtered,45,filtered
SRR9953947,bittleston_M09,bittleston_M09_unfiltered,39,unfiltered
SRR9953949,bittleston_M09,bittleston_M09_unfiltered,48,unfiltered
SRR9953951,bittleston_M09,bittleston_M09_unfiltered,45,unfiltered
SRR9953952,bittleston_M04,bittleston_M04_filtered,60,filtered
SRR9953953,bittleston_M04,bittleston_M04_unfiltered,60,unfiltered
SRR9953954,bittleston_M04,bittleston_M04_filtered,48,filtered
SRR9953955,bittleston_M04,bittleston_M04_unfiltered,48,unfiltered
SRR9953956,bittleston_M03,bittleston_M03_filtered,48,filtered
SRR9953957,bittleston_M03,bittleston_M03_unfiltered,45,unfiltered
SRR9953958,bittleston_M03,bittleston_M03_filtered,45,filtered
SRR9953959,bittleston_M03,bittleston_M03_unfiltered,42,unfiltered
SRR9953960,bittleston_M03,bittleston_M03_filtered,42,filtered
SRR9953961,bittleston_M03,bittleston_M03_unfiltered,39,unfiltered
SRR9953962,bittleston_M03,bittleston_M03_filtered,39,filtered
SRR9953963,bittleston_M03,bittleston_M03_unfiltered,36,unfiltered
SRR9953964,bittleston_M03,bittleston_M03_filtered,51,filtered
SRR9953965,bittleston_M03,bittleston_M03_unfiltered,48,unfiltered
SRR9953966,bittleston_M05,bittleston_M05_filtered,48,filtered
SRR9953967,bittleston_M05,bittleston_M05_unfiltered,45,unfiltered
SRR9953968,bittleston_M05,bittleston_M05_filtered,45,filtered
SRR9953969,bittleston_M05,bittleston_M05_unfiltered,42,unfiltered
SRR9953970,bittleston_M05,bittleston_M05_filtered,54,filtered
SRR9953971,bittleston_M05,bittleston_M05_unfiltered,51,unfiltered
SRR9953972,bittleston_M05,bittleston_M05_filtered,51,filtered
SRR9953973,bittleston_M05,bittleston_M05_unfiltered,48,unfiltered
