Sample,study,media,source,days
SRR7134157,goldford,Glucose,goldford_X10,16
SRR7134148,goldford,Glucose,goldford_X12,16
SRR7133968_Glucose_goldford_X1_4.0,goldford,Glucose,goldford_X1,0
SRR7134016_Glucose_goldford_X7_4.0,goldford,Glucose,goldford_X7,0
SRR7134398_Glucose_goldford_X2_1.0,goldford,Glucose,goldford_X2,0
SRR7134401_Glucose_goldford_X8_4.0,goldford,Glucose,goldford_X8,0
SRR7134120_Glucose_goldford_X3_4.0,goldford,Glucose,goldford_X3,0
SRR7134117_Glucose_goldford_X9_4.0,goldford,Glucose,goldford_X9,0
SRR7134107_Glucose_goldford_X4_4.0,goldford,Glucose,goldford_X4,0
SRR7134106_Glucose_goldford_X10_4.0,goldford,Glucose,goldford_X10,0
SRR7133937_Glucose_goldford_X5_4.0,goldford,Glucose,goldford_X5,0
SRR7134351_Glucose_goldford_X6_1.0,goldford,Glucose,goldford_X6,0
SRR7134353_Glucose_goldford_X12_4.0,goldford,Glucose,goldford_X12,0
SRR9953697,bittleston,Cricket,bittleston_M10,18
SRR9953699,bittleston,Cricket,bittleston_M08,60
SRR9953702,bittleston,Cricket,bittleston_M07,18
SRR9953704,bittleston,Cricket,bittleston_M07,27
SRR9953706,bittleston,Cricket,bittleston_M07,24
SRR9953712,bittleston,Cricket,bittleston_M04,63
SRR9953718,bittleston,Cricket,bittleston_M05,12
SRR9953720,bittleston,Cricket,bittleston_M05,15
SRR9953722,bittleston,Cricket,bittleston_M05,18
SRR9953724,bittleston,Cricket,bittleston_M05,21
SRR9953726,bittleston,Cricket,bittleston_M05,24
SRR9953736,bittleston,Cricket,bittleston_M02,15
SRR9953741,bittleston,Cricket,bittleston_M09,18
SRR9953745,bittleston,Cricket,bittleston_M09,12
SRR9953750,bittleston,Cricket,bittleston_M07,48
SRR9953751,bittleston,Cricket,bittleston_M09,21
SRR9953756,bittleston,Cricket,bittleston_M04,6
SRR9953758,bittleston,Cricket,bittleston_M04,9
SRR9953760,bittleston,Cricket,bittleston_M04,12
SRR9953762,bittleston,Cricket,bittleston_M04,15
SRR9953765,bittleston,Cricket,bittleston_M05,39
SRR9953769,bittleston,Cricket,bittleston_M09,57
SRR9953775,bittleston,Cricket,bittleston_M09,60
SRR9953777,bittleston,Cricket,bittleston_M06,15
SRR9953779,bittleston,Cricket,bittleston_M06,18
SRR9953793,bittleston,Cricket,bittleston_M04,30
SRR9953795,bittleston,Cricket,bittleston_M01,15
SRR9953804,bittleston,Cricket,bittleston_M08,27
SRR9953806,bittleston,Cricket,bittleston_M08,15
SRR9953808,bittleston,Cricket,bittleston_M08,18
SRR9953816,bittleston,Cricket,bittleston_M03,3
SRR9953819,bittleston,Cricket,bittleston_M02,60
SRR9953821,bittleston,Cricket,bittleston_M02,57
SRR9953825,bittleston,Cricket,bittleston_M02,63
SRR9953836,bittleston,Cricket,bittleston_M09,30
SRR9953838,bittleston,Cricket,bittleston_M09,33
SRR9953840,bittleston,Cricket,bittleston_M09,24
SRR9953842,bittleston,Cricket,bittleston_M09,27
SRR9953844,bittleston,Cricket,bittleston_M10,60
SRR9953846,bittleston,Cricket,bittleston_M07,3
SRR9953848,bittleston,Cricket,bittleston_M07,6
SRR9953857,bittleston,Cricket,bittleston_M03,27
SRR9953859,bittleston,Cricket,bittleston_M03,30
SRR9953864,bittleston,Cricket,bittleston_M06,3
SRR9953874,bittleston,Cricket,bittleston_M06,6
SRR9953876,bittleston,Cricket,bittleston_M05,27
SRR9953879,bittleston,Cricket,bittleston_M02,9
SRR9953881,bittleston,Cricket,bittleston_M02,6
SRR9953883,bittleston,Cricket,bittleston_M02,3
SRR9953891,bittleston,Cricket,bittleston_M08,33
SRR9953893,bittleston,Cricket,bittleston_M08,36
SRR9953895,bittleston,Cricket,bittleston_M08,39
SRR9953897,bittleston,Cricket,bittleston_M07,36
SRR9953908,bittleston,Cricket,bittleston_M10,9
SRR9953910,bittleston,Cricket,bittleston_M10,12
SRR9953912,bittleston,Cricket,bittleston_M10,15
SRR9953919,bittleston,Cricket,bittleston_M06,60
SRR9953921,bittleston,Cricket,bittleston_M06,63
SRR9953924,bittleston,Cricket,bittleston_M04,33
SRR9953926,bittleston,Cricket,bittleston_M04,42
SRR9953928,bittleston,Cricket,bittleston_M04,39
SRR9953930,bittleston,Cricket,bittleston_M04,45
SRR9953932,bittleston,Cricket,bittleston_M02,51
SRR9953934,bittleston,Cricket,bittleston_M02,48
SRR9953936,bittleston,Cricket,bittleston_M02,45
SRR9953938,bittleston,Cricket,bittleston_M02,42
SRR9953943,bittleston,Cricket,bittleston_M09,51
SRR9953947,bittleston,Cricket,bittleston_M09,39
SRR9953949,bittleston,Cricket,bittleston_M09,48
SRR9953951,bittleston,Cricket,bittleston_M09,45
SRR9953953,bittleston,Cricket,bittleston_M04,60
SRR9953955,bittleston,Cricket,bittleston_M04,48
SRR9953957,bittleston,Cricket,bittleston_M03,45
SRR9953959,bittleston,Cricket,bittleston_M03,42
SRR9953961,bittleston,Cricket,bittleston_M03,39
SRR9953963,bittleston,Cricket,bittleston_M03,36
SRR9953965,bittleston,Cricket,bittleston_M03,48
SRR9953967,bittleston,Cricket,bittleston_M05,45
SRR9953969,bittleston,Cricket,bittleston_M05,42
SRR9953971,bittleston,Cricket,bittleston_M05,51
SRR9953973,bittleston,Cricket,bittleston_M05,48
SRR9953975,bittleston,Cricket,bittleston_M05,54
SRR9953976,bittleston,Cricket,bittleston_M09,36
SRR9953978,bittleston,Cricket,bittleston_M01,57
SRR9953980,bittleston,Cricket,bittleston_M01,48
SRR9953982,bittleston,Cricket,bittleston_M01,45
SRR9953984,bittleston,Cricket,bittleston_M01,54
SRR9953986,bittleston,Cricket,bittleston_M01,51
SRR9953987,bittleston,Cricket,bittleston_M08,57
SRR9953989,bittleston,Cricket,bittleston_M08,54
SRR9953991,bittleston,Cricket,bittleston_M08,51
SRR9953993,bittleston,Cricket,bittleston_M08,48
SRR9953995,bittleston,Cricket,bittleston_M08,45
SRR9953998,bittleston,Cricket,bittleston_M05,30
SRR9953999,bittleston,Cricket,bittleston_M10,63
SRR9954001,bittleston,Cricket,bittleston_M10,54
SRR9954003,bittleston,Cricket,bittleston_M10,51
